cluster_id,business_name,sector,post_type,caption_text,likes_count,comments_count,views_count,engagement_rate,view_rate,CTA_present,promo_post,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style
3,Vanilla Palestine,Cafes/Restaurants,reel,سكوب الكوكيز بفانيلا 😍😋,911.0,9,197000,0.006618705000000001,1.4172661871,0,1,0,0,0,1
3,Vanilla Palestine,Cafes/Restaurants,reel,نقطة ضعف... بطعم الفيريرو 🍰😊😋 فانيلا اليوم وكل يوم... #ferraro-cheesecake #vanilla,288.0,280,370000,0.0065063001,4.2382588774,0,1,0,0,0,1
3,Farouj Abu Alabd,Cafes/Restaurants,post,احكولنا شو اكثر صنف بتحبوه عنا ✨ نختار يوم الخميس على تعليقاتك على هاد البوست ونزعهم وجبات قيمة ، شكر لكل واحد فيهم عرض أقل,41.0,96,19000,0.0054800000000000005,0.76,0,1,0,0,0,1
3,Shamsboutique,Fashion,reel,فستان جنز بجنن متوفر بالدرجتين 🌸,4.0,0,1800,0.005412719900000001,2.4357239513,0,1,0,0,0,1
3,Shamsboutique,Fashion,reel,"فستان أنيق قيمة الفخامة 🌸
متوفر ب 5 ألوان عرض أقل",4.0,0,1700,0.005412719900000001,2.300405954,0,1,0,0,0,1
3,Shamsboutique,Fashion,reel,"فستان ناعم جداً 🌸
متوفر ب 4 ألوان عرض أقل",4.0,0,1900,0.005412719900000001,2.5710419486,0,1,0,0,0,1
3,Shamsboutique,Fashion,reel,"الفستان اللي رح تتميزي فيه 🌻
متوفر ب 3 ألوان عرض أقل",4.0,0,1800,0.005412719900000001,2.4357239513,0,1,0,0,0,1
3,Shamsboutique,Fashion,reel,بسط بلنات متوفر ب 6 ألوان خرافية 🌸,4.0,0,1100,0.005412719900000001,1.4884979702,0,1,0,0,0,1
3,Shamsboutique,Fashion,reel,"Wooow 🧚‍♀️
التنسيقة الأجمل الحيرة متوفرة بلونين والتنورة منها 3 درجات",4.0,0,1200,0.005412719900000001,1.6238159675000001,0,1,0,0,0,1
3,Shamsboutique,Fashion,reel,"Pov: لقيتي الترانش اللي بجمع بين الأناقة والراحة 🌻
بجنن متوفر ب 6 ألوان ولا أحلى 🌻",4.0,0,1100,0.005412719900000001,1.4884979702,0,1,0,0,0,1
3,Shamsboutique,Fashion,reel,"Pov: تنسيقتك الأنيقة من شمس بوتيك 🌸
بجنن التنسيقة بنات 🌸",4.0,0,1500,0.005412719900000001,2.0297699594,0,1,0,0,0,1
