min_support,min_confidence,min_lift,max_antecedent_len,frequent_itemsets_count,valid_rules_before_filtering,final_rule_count,high_view_rate_rule_count,avg_lift,max_lift,avg_confidence,max_confidence,avg_confidence_lower_bound,max_confidence_lower_bound
0.02,0.5,1.0,2,351,787,83,22,2.6548059747198973,3.9444444444444446,0.8410427423981641,1.0,0.37290143886827937,0.6755843804891231
0.02,0.5,1.2,2,351,787,83,22,2.6548059747198973,3.9444444444444446,0.8410427423981641,1.0,0.37290143886827937,0.6755843804891231
0.02,0.5,1.5,2,351,787,81,22,2.690131111601019,3.9444444444444446,0.8494635508524397,1.0,0.377476466818128,0.6755843804891231
0.01,0.4,1.0,1,551,518,81,18,2.7144455502566665,3.9444444444444446,0.8907627865961201,1.0,0.2316250705664421,0.5699064013154177
0.01,0.4,1.2,1,551,518,80,18,2.7347745870678253,3.9444444444444446,0.8963417658730158,1.0,0.23065304537989278,0.5699064013154177
0.02,0.6,1.0,2,351,631,76,18,2.741687008319409,3.9444444444444446,0.8717235797827905,1.0,0.3879997617156344,0.6755843804891231
0.02,0.6,1.2,2,351,631,76,18,2.741687008319409,3.9444444444444446,0.8717235797827905,1.0,0.3879997617156344,0.6755843804891231
0.02,0.6,1.5,2,351,631,76,18,2.741687008319409,3.9444444444444446,0.8717235797827905,1.0,0.3879997617156344,0.6755843804891231
0.02,0.4,2.0,2,351,832,75,18,2.7519465388007047,3.9444444444444446,0.8744576719576721,1.0,0.39040435913682303,0.6755843804891231
0.02,0.5,2.0,2,351,787,75,18,2.7519465388007047,3.9444444444444446,0.8744576719576721,1.0,0.39040435913682303,0.6755843804891231
0.02,0.6,2.0,2,351,631,75,18,2.7519465388007047,3.9444444444444446,0.8744576719576721,1.0,0.39040435913682303,0.6755843804891231
0.01,0.4,1.5,1,551,518,74,18,2.850365971729118,3.9444444444444446,0.9284775847275847,1.0,0.240432264182266,0.5699064013154177
0.01,0.5,1.0,1,551,507,79,17,2.749420116299344,3.9444444444444446,0.9026245730359654,1.0,0.23045999603962758,0.5699064013154177
0.01,0.5,1.2,1,551,507,79,17,2.749420116299344,3.9444444444444446,0.9026245730359654,1.0,0.23045999603962758,0.5699064013154177
0.01,0.5,1.5,1,551,507,73,17,2.8677986867147527,3.9444444444444446,0.9357170036964558,1.0,0.24035730967434038,0.5699064013154177
0.03,0.4,1.0,3,260,1171,94,15,2.679308770845707,3.9444444444444446,0.8709198750422156,1.0,0.4368209075872651,0.6755843804891231
0.03,0.4,1.2,3,260,1171,93,15,2.6964182995068007,3.9444444444444446,0.8755056323604712,1.0,0.4381911637388443,0.6755843804891231
0.03,0.4,1.5,3,260,1171,91,15,2.728776109802896,3.9444444444444446,0.8837585034013606,1.0,0.44369838037267806,0.6755843804891231
0.03,0.5,1.0,3,260,1068,92,14,2.708577435612551,3.9444444444444446,0.8806741718426502,1.0,0.44028124222230103,0.6755843804891231
0.03,0.5,1.2,3,260,1068,92,14,2.708577435612551,3.9444444444444446,0.8806741718426502,1.0,0.44028124222230103,0.6755843804891231
0.03,0.5,1.5,3,260,1068,90,14,2.7415649801587305,3.9444444444444446,0.8891335978835979,1.0,0.44589609634058747,0.6755843804891231
0.01,0.4,2.0,1,551,518,69,14,2.9244799847100253,3.9444444444444446,0.9601708074534162,1.0,0.24259664700499484,0.5699064013154177
0.01,0.5,2.0,1,551,507,69,14,2.9244799847100253,3.9444444444444446,0.9601708074534162,1.0,0.24259664700499484,0.5699064013154177
0.01,0.6,1.0,1,551,445,69,14,2.9244799847100253,3.9444444444444446,0.9601708074534162,1.0,0.24259664700499484,0.5699064013154177
0.01,0.6,1.2,1,551,445,69,14,2.9244799847100253,3.9444444444444446,0.9601708074534162,1.0,0.24259664700499484,0.5699064013154177
0.01,0.6,1.5,1,551,445,69,14,2.9244799847100253,3.9444444444444446,0.9601708074534162,1.0,0.24259664700499484,0.5699064013154177
0.01,0.6,2.0,1,551,445,69,14,2.9244799847100253,3.9444444444444446,0.9601708074534162,1.0,0.24259664700499484,0.5699064013154177
0.03,0.4,1.0,2,193,479,54,11,2.5229077501317687,3.9444444444444446,0.8145245443856555,1.0,0.419331497891869,0.6755843804891231
0.03,0.4,1.2,2,193,479,53,11,2.549979167957576,3.9444444444444446,0.8215071877807727,1.0,0.4214059207673686,0.6755843804891231
0.03,0.4,1.5,2,193,479,51,11,2.6019729419545605,3.9444444444444446,0.8341153127917834,1.0,0.4305742781739552,0.6755843804891231
0.03,0.4,2.0,3,260,1171,85,10,2.790687538904451,3.9444444444444446,0.9113702147525676,1.0,0.4593298441032084,0.6755843804891231
0.03,0.5,2.0,3,260,1068,85,10,2.790687538904451,3.9444444444444446,0.9113702147525676,1.0,0.4593298441032084,0.6755843804891231
0.03,0.6,1.0,3,260,841,85,10,2.790687538904451,3.9444444444444446,0.9113702147525676,1.0,0.4593298441032084,0.6755843804891231
0.03,0.6,1.2,3,260,841,85,10,2.790687538904451,3.9444444444444446,0.9113702147525676,1.0,0.4593298441032084,0.6755843804891231
0.03,0.6,1.5,3,260,841,85,10,2.790687538904451,3.9444444444444446,0.9113702147525676,1.0,0.4593298441032084,0.6755843804891231
0.03,0.6,2.0,3,260,841,85,10,2.790687538904451,3.9444444444444446,0.9113702147525676,1.0,0.4593298441032084,0.6755843804891231
0.03,0.5,1.0,2,193,434,52,10,2.5686753485379565,3.9444444444444446,0.8296130952380951,1.0,0.42478095879634037,0.6755843804891231
