business_name,sector,followers_count,post_date,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,view_rate,view_rate_bin
Vanilla Palestine,Cafes/Restaurants,139000,2026-03-06,Friday,March,reel,رمضان كريم 🌙✨,14,0,2,2450,84,401000,Arabic,False,True,False,True,False,True,0,2.884892086330935,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-03-09,Monday,March,reel,Chocolate overload 🍫,21,0,1,1442,35,224000,English,False,True,False,False,False,False,0,1.6115107913669064,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-03-11,Wednesday,March,reel,Our Ramadan atmosphere ✨,26,0,1,1700,41,267000,English,False,False,True,True,False,False,0,1.920863309352518,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-03-14,Saturday,March,reel,مين جاهز للحلويات الرمضانية؟ 😍,31,0,1,1940,73,322000,Arabic,True,True,False,True,False,True,0,2.316546762589928,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-03-18,Wednesday,March,reel,"Mini cakes, maximum happiness 🎂",33,0,1,1200,22,164000,English,False,True,False,False,False,False,0,1.1798561151079137,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-03-20,Friday,March,reel,فانيلا غير 😍,12,0,1,1110,29,173000,Arabic,False,True,False,False,False,True,0,1.2446043165467626,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-03-24,Tuesday,March,reel,Iced coffee season officially started ☕,39,0,1,2080,48,352000,English,False,True,False,False,False,False,0,2.5323741007194243,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-03-28,Saturday,March,reel,لقمة وبتعشقها 😋,16,0,1,1422,27,211000,Arabic,False,True,False,False,False,True,0,1.5179856115107915,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-04-01,Wednesday,April,reel,Cheesecake lovers where you at?,33,0,0,1320,31,188000,English,True,True,False,False,False,False,0,1.3525179856115108,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-04-04,Saturday,April,reel,شو طلبكم المفضل من فانيلا؟ 🤍,31,0,1,1540,96,241000,Arabic,True,False,False,False,False,True,0,1.7338129496402879,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-04-08,Wednesday,April,reel,Behind the scenes 🎥,22,0,1,1180,19,145000,English,False,False,False,False,False,False,0,1.0431654676258992,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-04-12,Sunday,April,reel,Fresh cookies every morning 🍪,30,0,1,1265,24,176000,English,False,True,False,False,False,False,0,1.2661870503597121,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2026-04-15,Wednesday,April,reel,صباح الخير من فانيلا ☀️,23,0,1,1470,36,194000,Arabic,False,False,True,False,False,True,0,1.39568345323741,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-03-12,Wednesday,March,reel,سكوب الكوكيز بفانيلا 😍😋,24,4,2,911,9,197000,Arabic,False,True,False,False,False,True,0,1.4172661870503598,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-03-12,Wednesday,March,reel,الأجواء بتحلى مع فانيلا,23,0,0,153,0,24200,Arabic,False,False,False,True,False,True,0,0.17410071942446043,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-03-11,Tuesday,March,reel,من الآن، بتقدرو تحجزوا فطوركم بكرا في فرعنا بوسط البلد 🌙,63,3,1,1454,2,609000,Arabic,True,True,True,True,False,True,0,4.381294964028777,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-03-09,Sunday,March,reel,بوفيه فانيلا النابلسي 🌙😍,26,3,2,141,4,39600,Arabic,False,True,True,True,False,True,0,0.28489208633093527,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-03-06,Thursday,March,reel,كلكم اتفقتوا على انها أطيب ام علي في فانيلا 😍,48,0,1,431,12,218000,Arabic,False,True,False,True,False,True,0,1.5683453237410072,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-03-05,Wednesday,March,reel,16 رمضان,9,0,0,308,18,133000,Arabic,False,False,False,True,False,False,0,0.9568345323741008,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-03-02,Sunday,March,reel,رمضان فانيلا 🌙🤍,17,2,2,325,1,652000,Arabic,False,True,True,True,True,True,0,4.690647482014389,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-02-28,Friday,February,reel,اكثر من انه حلو 😍,18,2,1,2630,6,652000,Arabic,False,True,False,True,False,True,0,4.690647482014389,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-02-24,Monday,February,reel,طبقات من القشطة و التمر الفاخر 🌙😍,37,2,2,1475,2,566000,Arabic,False,True,False,True,False,True,0,4.071942446043166,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-02-23,Sunday,February,reel,بعد الإفطار في فانيلا 🌙🤍✌️,30,3,3,2898,4,82600,Arabic,False,False,True,True,False,True,0,0.5942446043165468,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-02-18,Tuesday,February,reel,انتظرونا في خامس ايام من رمضان على البوفيه الرمضاني ❤️,58,1,1,1653,8,213000,Arabic,True,True,True,True,False,True,0,1.5323741007194245,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-02-08,Saturday,February,reel,Everyday Is a Cake Day 🍰😊😊 #vanilla_today_and_everyday #فانيلا_اليوم_وكل_يوم,89,2,3,2101,8,132000,Mixed,False,True,False,False,False,False,0,0.9496402877697842,avg_view_rate
