business_name,sector,followers_count,post_date,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,hashtags,hashtag_count,view_rate,engagement,engagement_rate,view_rate_ratio,performance_label
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-28,Friday,March,reel,Pure delight in every bite! 😍 Homemade Delicious 😊 Crispy Coco Cake #vanilla_today_and_everyday,103,1,2,1983,2000,1000000,English,False,True,False,False,False,True,0,['vanilla_today_and_everyday'],1,11.45475372279496,3983,0.045624284077892326,10.685978305157715,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-21,Friday,March,reel,تناغم عجيب للنكهات اللذيذة.. 👌🍰 جربوا الآن سان ميسو تشيزكيك الجديدة من فانيلا 😍 #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم,143,2,4,750,750,702000,Arabic,True,True,False,False,False,True,0,"['vanilla_today_and_everyday', 'فانيلا_اليوم_وكل_يوم']",2,8.041237113402062,1500,0.01718213058419244,7.5015567702207155,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-17,Monday,March,reel,أمي.. كل عام وانتِ أجمل نعمة 💜🎂 هلا بتقدرو تحجزو كيكة يوم الأم من فانيلا 💌 الحجوزات عبر رسائل الصفحة #mothersday #happymothersday #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم #يوم_الأم,218,5,4,53,60,68300,Arabic,True,True,False,False,False,True,0,"['mothersday', 'happymothersday', 'vanilla_today_and_everyday', 'فانيلا_اليوم_وكل_يوم', 'يوم_الأم']",5,0.7823596792668958,113,0.0012943871706758304,0.7298523182422719,low_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-17,Monday,March,reel,أمي.. كل عام وانتِ أجمل نعمة 💜🎂 هلا بتقدرو تحجزو كيكة يوم الأم من فانيلا 💌 الحجوزات عبر رسائل الصفحة #mothersday #happymothersday #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم #يوم_الأم,218,5,4,214,214,162000,Arabic,True,True,False,False,False,True,0,"['mothersday', 'happymothersday', 'vanilla_today_and_everyday', 'فانيلا_اليوم_وكل_يوم', 'يوم_الأم']",5,1.8556701030927836,428,0.004902634593356243,1.7311284854355498,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-17,Monday,March,reel,أمي.. كل عام وانتِ أجمل نعمة 💜🎂 هلا بتقدرو تحجزو كيكة يوم الأم من فانيلا 💌 الحجوزات عبر رسائل الصفحة #mothersday #happymothersday #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم #يوم_الأم,218,5,4,232,232,240000,Arabic,True,True,False,False,False,True,0,"['mothersday', 'happymothersday', 'vanilla_today_and_everyday', 'فانيلا_اليوم_وكل_يوم', 'يوم_الأم']",5,2.7491408934707904,464,0.005315005727376861,2.5646347932378513,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-12,Wednesday,March,reel,بوفيه الإفطار الرمضاني 🌙 في فانيلا - فرع الطيرة وفرع نابلس ⭐⭐⭐⭐⭐ للحجز: 022961179 أو عبر رسائل الصفحة نستقبل المكالمات يومياً بعد الساعة الواحدة ظهراً #Ramadan2025 #RamadanKareem #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم,267,4,6,691,691,150000,Arabic,True,True,True,True,False,True,0,"['ramadan2025', 'ramadankareem', 'vanilla_today_and_everyday', 'فانيلا_اليوم_وكل_يوم']",4,1.7182130584192439,1382,0.015830469644902635,1.6028967457736572,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-11,Tuesday,March,reel,العلاج فوراً 🍰🧁 انت عاشق للأكل 😋🤣 #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم,93,2,5,1206,1200,627000,Arabic,False,True,False,False,False,True,0,"['vanilla_today_and_everyday', 'فانيلا_اليوم_وكل_يوم']",2,7.18213058419244,2406,0.027560137457044675,6.700108397333887,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-10,Monday,March,reel,Delicious & Healthy 😍 Homemade Hot Apple Cider 🍏🍋 #vanilla_today_and_everyday,88,1,4,176,180,144000,English,False,True,False,False,False,True,0,['vanilla_today_and_everyday'],1,1.6494845360824741,356,0.0040778923253150055,1.5387808759427108,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-07,Friday,March,reel,بوفيه الإفطار الرمضاني 🌙 في فانيلا - فرع الطيرة وفرع نابلس ⭐⭐⭐⭐⭐ للحجز: 022961179 أو عبر رسائل الصفحة نستقبل المكالمات يومياً بعد الساعة الواحدة ظهراً #Ramadan2025 #RamadanKareem #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم,267,4,6,511,500,149000,Arabic,True,True,True,True,False,True,0,"['ramadan2025', 'ramadankareem', 'vanilla_today_and_everyday', 'فانيلا_اليوم_وكل_يوم']",4,1.706758304696449,1011,0.011580756013745705,1.5922107674684993,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-04,Tuesday,March,reel,نستقبل حجوزاتكم الآن بوفيه فانيلا الرمضاني فرع الطيرة وفرع نابلس ⭐⭐⭐⭐⭐ للحجز: 022961179 أو عبر رسائل الصفحة 🌙 رمضان مبارك #Ramadan2025 #RamadanKareem #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم,243,4,6,506,500,36700,Arabic,True,True,True,True,False,True,0,"['ramadan2025', 'ramadankareem', 'vanilla_today_and_everyday', 'فانيلا_اليوم_وكل_يوم']",4,0.42038946162657503,1006,0.011523482245131729,0.3921754037992881,low_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-04,Tuesday,March,reel,Dream Vanilla Cake 😋 creamy and yummy😍 #vanilla_today_and_everyday,76,1,2,560,570,460000,English,False,True,False,False,False,True,0,['vanilla_today_and_everyday'],1,5.2691867124856815,1130,0.012943871706758306,4.915550020372549,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-02,Sunday,March,reel,Ramadan 🌙 Milkshake 😍🌴 #Ramadan2025 #RamadanKareem #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم,122,4,4,282,290,73800,Mixed,False,True,False,True,False,True,0,"['ramadan2025', 'ramadankareem', 'vanilla_today_and_everyday', 'فانيلا_اليوم_وكل_يوم']",4,0.845360824742268,572,0.006552119129438717,0.7886251989206393,low_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-03-01,Saturday,March,reel,VANILLA® Today and everyday 🍰☕🧋 😍❤️ #vanilla_today_and_everyday,76,1,6,286,286,97400,English,False,True,True,False,False,True,0,['vanilla_today_and_everyday'],1,1.1156930126002291,572,0.006552119129438717,1.0408142869223613,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-02-17,Monday,February,reel,تيراميسو إيطاليانو الساخن ✨ لذيذ ومميز 😊 Tiramisu Italiano hot drink #فانيلا_اليوم_وكل_يوم #vanilla_today_and_everyday,139,2,2,1100,1100,399000,Mixed,False,True,False,False,False,True,0,"['فانيلا_اليوم_وكل_يوم', 'vanilla_today_and_everyday']",2,4.570446735395189,2200,0.025200458190148912,4.263705343757928,high_view_rate
Vanilla Palestine,Cafes/Restaurants,87300,2025-02-15,Saturday,February,reel,Choose your dessert for tonight 🍰💕 #VANILLA_Today_and_everyday,72,1,2,3308,3300,539000,English,True,True,False,False,False,True,0,['vanilla_today_and_everyday'],1,6.174112256586484,6608,0.07569301260022909,5.759742306480009,high_view_rate
